Year,Circuit,Winner Driver,Winner Team
2020,Bahrain,Lewis Hamilton,Mercedes
2020,Sakhir,Sergio Perez,Racing Point
2020,Austria,Valtteri Bottas,Mercedes
2020,Styria,Lewis Hamilton,Mercedes
2020,Hungary,Lewis Hamilton,Mercedes
2020,Great Britain,Lewis Hamilton,Mercedes
2020,Great Britain 70th Anniversary Emirates,Lewis Hamilton,Mercedes
2020,Spain,Lewis Hamilton,Mercedes
2020,Belgium,Lewis Hamilton,Mercedes
2020,Italy,Pierre Gasly,AlphaTauri
2020,Tuscany,Lewis Hamilton,Mercedes
2020,Sochi,Valtteri Bottas,Mercedes
2020,Eifel,Lewis Hamilton,Mercedes
2020,Portugal,Lewis Hamilton,Mercedes
2020,Emilia Romagna,Lewis Hamilton,Mercedes
2020,Turkey,Lewis Hamilton,Mercedes
2020,Abu Dhabi,Max Verstappen,Red Bull Racing
2021,Emilia Romagna,Max Verstappen,Red Bull Racing
2021,Bahrain,Lewis Hamilton,Mercedes
2021,Spain,Lewis Hamilton,Mercedes
2021,Monaco,Max Verstappen,Red Bull Racing
2021,Baku,Sergio Perez,Red Bull Racing
2021,France,Max Verstappen,Red Bull Racing
2021,Austria,Max Verstappen,Red Bull Racing
2021,Styria,Max Verstappen,Red Bull Racing
2021,Great Britain,Lewis Hamilton,Mercedes
2021,Hungary,Esteban Ocon,Alpine
2021,Belgium,Max Verstappen,Red Bull Racing
2021,Netherlands,Max Verstappen,Red Bull Racing
2021,Italy,Daniel Ricciardo,McLaren
2021,Russia,Lewis Hamilton,Mercedes
2021,Portugal,Lewis Hamilton,Mercedes
2021,Turkey,Valtteri Bottas,Mercedes
2021,United States,Max Verstappen,Red Bull Racing
2021,Mexico,Max Verstappen,Red Bull Racing
2021,Brazil,Lewis Hamilton,Mercedes
2021,Saudi Arabia,Lewis Hamilton,Mercedes
2021,Qatar,Lewis Hamilton,Mercedes
2021,Abu Dhabi,Max Verstappen,Red Bull Racing
2022,Bahrain,Charles Leclerc,Ferrari
2022,Saudi Arabia,Max Verstappen,Red Bull Racing
2022,Australia,Charles Leclerc,Ferrari
2022,Emilia Romagna,Max Verstappen,Red Bull Racing
2022,Miami,Max Verstappen,Red Bull Racing
2022,Spain,Max Verstappen,Red Bull Racing
2022,Monaco,Sergio Perez,Red Bull Racing
2022,Azerbaijan,Max Verstappen,Red Bull Racing
2022,Canada,Max Verstappen,Red Bull Racing
2022,Great Britain,Carlos Sainz,Ferrari
2022,Austria,Charles Leclerc,Ferrari
2022,France,Max Verstappen,Red Bull Racing
2022,Hungary,Max Verstappen,Red Bull Racing
2022,Belgium,Max Verstappen,Red Bull Racing
2022,Netherlands,Max Verstappen,Red Bull Racing
2022,Italy,Max Verstappen,Red Bull Racing
2022,Singapore,Sergio Perez,Red Bull Racing
2022,Japan,Max Verstappen,Red Bull Racing
2022,United States,Max Verstappen,Red Bull Racing
2022,Brazil,George Russel,Mercedes
2022,Abu Dhabi,Max Verstappen,Red Bull Racing
